sl.no,subject_code,staff_idno,dept_id,y,sec_id
,MA101BS,SMEC0206,cse,1,a
,PH103BS,SMEC0196,cse,1,a
,ME105ES,SMEC0139,cse,1,a
,*EA109M,SMEC0477,cse,1,a
,CH102BS,SMEC0470,cse,1,a
,EN104HS,SMEC0219,cse,1,a
,EE106ES,SMEC0040,cse,1,a
,EN107HS,SMEC0219,cse,1,a
,ME108ES,SMEC0147,cse,1,a
,MA101BS,SMEC0195,cse,1,b
,PH103BS,SMEC0194,cse,1,b
,ME105ES,SMEC0154,cse,1,b
,*EA109M,SMEC0477,cse,1,b
,CH102BS,SMEC0480,cse,1,b
,EN104HS,SMEC0229,cse,1,b
,EN107HS,SMEC0229,cse,1,b
,ME108ES,SMEC0151,cse,1,b
,MA101BS,SMEC0195,cse,1,c
,PH103BS,SMEC0347,cse,1,c
,ME105ES,SMEC0340,cse,1,c
,*EA109M,SMEC0477,cse,1,c
,CH102BS,SMEC0226,cse,1,c
,EN104HS,SMEC0193,cse,1,c
,EE106ES,SMEC0033,cse,1,c
,EN107HS,SMEC0193,cse,1,c
,ME108ES,SMEC0148,cse,1,c
,MA101BS,SMEC0476,cse,1,d
,PH103BS,SMEC0278,cse,1,d
,ME105ES,SMEC0475,cse,1,d
,*EA109M,SMEC0477,cse,1,d
,CH102BS,SMEC0477,cse,1,d
,EN104HS,SMEC0219,cse,1,d
,EE106ES,SMEC0313,cse,1,d
,EN107HS,SMEC0219,cse,1,d
,ME108ES,SMEC0161,cse,1,d
,TT,SMEC0091,cse,1,a
,MA203BS,SMEC0206,cse,1,a
,CH206BS,SMEC0470,cse,1,a
,PH201BS,SMEC0196,cse,1,a
,MA202BS,SMEC0453,cse,1,a
,CS204ES,SMEC0309,cse,1,a
,ME205ES ,SMEC0139,cse,1,a
,PH207BS,SMEC0377,cse,1,a
,CS208ES,SMEC0309,cse,1,a
,2MICRO,SMEC0403,cse,1,a
,TT,SMEC0065,cse,1,b
,MA203BS,SMEC0204,cse,1,b
,CH206BS,SMEC0214,cse,1,b
,PH201BS,SMEC0194,cse,1,b
,MA202BS,SMEC0454,cse,1,b
,CS204ES,SMEC0062,cse,1,b
,ME205ES ,SMEC0147,cse,1,b
,PH207BS,SMEC0347,cse,1,b
,CS208ES,SMEC0062,cse,1,b
,2MICRO,SMEC0404,cse,1,b
,TT,SMEC0404,cse,1,c
,MA203BS,SMEC0195,cse,1,c
,CH206BS,SMEC0226,cse,1,c
,PH201BS,SMEC0196,cse,1,c
,MA202BS,SMEC0271,cse,1,c
,CS204ES,SMEC0065,cse,1,c
,ME205ES ,SMEC0475,cse,1,c
,PH207BS,SMEC0377,cse,1,c
,CS208ES,SMEC0065,cse,1,c
,2MICRO,SMEC0309,cse,1,c
,TT,SMEC0302,cse,1,d
,MA203BS,SMEC0195,cse,1,d
,CH206BS,SMEC0477,cse,1,d
,PH201BS,SMEC0194,cse,1,d
,MA202BS,SMEC0454,cse,1,d
,CS204ES,SMEC0091,cse,1,d
,ME205ES ,SMEC0151,cse,1,d
,PH207BS,SMEC0377,cse,1,d
,CS208ES,SMEC0091,cse,1,d
,2MICRO,SMEC0402,cse,1,d
,AT,SMEC0495,cse,2,a
,LIBRARY,SMEC0258,cse,2,a
,SS,SMEC0494,cse,2,a
,MA301BS,SMEC0454,cse,2,a
,MC300ES,SMEC0211,cse,2,a
,CS302ES,SMEC0078,cse,2,a
,CS303ES,SMEC0404,cse,2,a
,CS304ES,SMEC0027,cse,2,a
,CS305ES,SMEC0380,cse,2,a
,CS306ES,SMEC0078,cse,2,a
,CS307ES,SMEC0102,cse,2,a
,CS308ES,SMEC0380,cse,2,a
,AT,SMEC0495,cse,2,b
,LIBRARY,SMEC0062,cse,2,b
,SS,SMEC0494,cse,2,b
,MA301BS,SMEC0453,cse,2,b
,MC300ES,SMEC0211,cse,2,b
,CS302ES,SMEC0078,cse,2,b
,CS303ES,SMEC0309,cse,2,b
,CS304ES,SMEC0045,cse,2,b
,CS305ES,SMEC0064,cse,2,b
,CS306ES,SMEC0078,cse,2,b
,CS307ES,SMEC0401,cse,2,b
,CS308ES,SMEC0064,cse,2,b
,AT,SMEC0495,cse,2,c
,LIBRARY,SMEC0084,cse,2,c
,SS,SMEC0494,cse,2,c
,MA301BS,SMEC0225,cse,2,c
,MC300ES,SMEC0214,cse,2,c
,CS302ES,SMEC0067,cse,2,c
,CS303ES,SMEC0072,cse,2,c
,CS304ES,SMEC0295,cse,2,c
,CS305ES,SMEC0209,cse,2,c
,CS306ES,SMEC0067,cse,2,c
,CS307ES,SMEC0102,cse,2,c
,CS308ES,SMEC0209,cse,2,c
,AT,SMEC0495,cse,2,d
,LIBRARY,SMEC0306,cse,2,d
,SS,SMEC0494,cse,2,d
,MA301BS,SMEC0271,cse,2,d
,MC300ES,SMEC0214,cse,2,d
,CS302ES,SMEC0121,cse,2,d
,CS303ES,SMEC0309,cse,2,d
,CS304ES,SMEC0410,cse,2,d
,CS305ES,SMEC0399,cse,2,d
,CS306ES,SMEC0121,cse,2,d
,CS307ES,SMEC0401,cse,2,d
,CS308ES,SMEC0399,cse,2,d
,AT,SMEC0495,cse,2,a
,SS,SMEC0494,cse,2,a
,SM405MS,SMEC0471,cse,2,a
,*MC400HS,SMEC2004,cse,2,a
,CS401BS,SMEC0121,cse,2,a
,CS402ES,SMEC0380,cse,2,a
,CS403ES,SMEC0125,cse,2,a
,CS404ES,SMEC0063,cse,2,a
,CS406ES,SMEC0121,cse,2,a
,CS407ES,SMEC0090,cse,2,a
,CS408ES,SMEC0125,cse,2,a
,AT,SMEC0495,cse,2,b
,SS,SMEC0494,cse,2,b
,SM405MS,SMEC0394,cse,2,b
,*MC400HS,SMEC2004,cse,2,b
,CS401BS,SMEC0485,cse,2,b
,CS402ES,SMEC0071,cse,2,b
,CS403ES,SMEC0460,cse,2,b
,CS404ES,SMEC0072,cse,2,b
,CS406ES,SMEC0315,cse,2,b
,CS407ES,SMEC0071,cse,2,b
,CS408ES,SMEC0460,cse,2,b
,AT,SMEC0495,cse,2,c
,SS,SMEC0494,cse,2,c
,SM405MS,SMEC0205,cse,2,c
,*MC400HS,SMEC2004,cse,2,c
,CS401BS,SMEC0064,cse,2,c
,CS402ES,SMEC0120,cse,2,c
,CS403ES,SMEC0111,cse,2,c
,CS404ES,SMEC0078,cse,2,c
,CS406ES,SMEC0064,cse,2,c
,CS407ES,SMEC0120,cse,2,c
,CS408ES,SMEC0111,cse,2,c
,AT,SMEC0495,cse,2,d
,SS,SMEC0494,cse,2,d
,SM405MS,SMEC0203,cse,2,d
,*MC400HS,SMEC2004,cse,2,d
,CS401BS,SMEC0085,cse,2,d
,CS402ES,SMEC0067,cse,2,d
,CS403ES,SMEC0478,cse,2,d
,CS404ES,SMEC0339,cse,2,d
,CS406ES,SMEC0085,cse,2,d
